context_id,calibration_id,source_name,title,calibration_type,expected_indicator_focus,ref_country,matched_keywords,context_text,previous_sentence,target_sentence,next_sentence,N_content,IDI_raw,IDI_percent,EMI_raw,EMI_percent,MTI_raw,MTI_percent,EVI_raw,EVI_norm,S_r,salience_label,IP_context,IP_abs_context,quality_flags,language,notes,anchor_status,IDI_percentile,IDI_empirical_level,EMI_percentile,EMI_empirical_level,MTI_percentile,MTI_empirical_level,IP_percentile,IP_empirical_level,IP_abs_percentile,IP_abs_empirical_level,IDI_raw_interpretation,EMI_raw_interpretation,MTI_raw_interpretation,IP_context_interpretation,IP_abs_context_interpretation
cal_doc_manual_neutral_news_set_000001_000001__China__001,cal_local_manual_neutral_news_set_000001_000001,Manual Neutral News Set,,neutral_news,neutral_baseline,China,China,"Source: South China Morning Post
URL: https://www.scmp.com/news/asia/southeast-asia/article/3247082/malaysian-drug-kingpin-arrested-laos-us25-million-assets-seized
Date: 2024-01-03T10:43:20+08:00
Year: 2024
Country: malaysia
Discourse: media
Title: Malaysian drug kingpin arrested in Laos with US$2.5 million in assets seized

The 41-year-old, who has not been named, was arrested in Vientiane on December 29 following a joint Thai-Laotian police operation. Police also seized the man’s extensive assets, which included two condominium units, three yachts, two cars, three motorbikes, a parcel of land with a building, firearms, cash and other valuables, spread across Bangkok and the provinces of Trat, Chiang Rai, and Chonburi, Panurat said.",,"Source: South China Morning Post
URL: https://www.scmp.com/news/asia/southeast-asia/article/3247082/malaysian-drug-kingpin-arrested-laos-us25-million-assets-seized
Date: 2024-01-03T10:43:20+08:00
Year: 2024
Country: malaysia
Discourse: media
Title: Malaysian drug kingpin arrested in Laos with US$2.5 million in assets seized

The 41-year-old, who has not been named, was arrested in Vientiane on December 29 following a joint Thai-Laotian police operation.",The total estimated value of the seized assets was 85 million baht (US$2.5 million).,77,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.25,background,0.0,0.0,,en,,none,96.58,extreme,88.42,high,91.58,high,85.79,high,81.32,high,IDI_raw = 0.0000 corresponds to the 97th percentile of the calibration corpus. This indicates extreme level relative to the empirical baseline (baseline type: neutral_news).,EMI_raw = 0.0000 corresponds to the 88th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,MTI_raw = 0.0000 corresponds to the 92th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_context = 0.0000 corresponds to the 86th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_abs_context = 0.0000 corresponds to the 81th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).
cal_doc_manual_neutral_news_set_000001_000001__China__002,cal_local_manual_neutral_news_set_000001_000001,Manual Neutral News Set,,neutral_news,neutral_baseline,China,Taiwan,"The total estimated value of the seized assets was 85 million baht (US$2.5 million). “He also used Thailand for both money laundering and as a transit point for smuggling drugs, including to third countries like Malaysia, Taiwan and Australia,” said Panurat, according to Malaysian state news agency Bernama. “The arrest is a result of the continuous investigation and close coordination between the Thai, Malaysian, and Laotian enforcement agencies,” he said in a statement.","Police also seized the man’s extensive assets, which included two condominium units, three yachts, two cars, three motorbikes, a parcel of land with a building, firearms, cash and other valuables, spread across Bangkok and the provinces of Trat, Chiang Rai, and Chonburi, Panurat said.","“He also used Thailand for both money laundering and as a transit point for smuggling drugs, including to third countries like Malaysia, Taiwan and Australia,” said Panurat, according to Malaysian state news agency Bernama.",,48,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,secondary_actor,0.0,0.0,,en,,none,96.58,extreme,88.42,high,91.58,high,85.79,high,81.32,high,IDI_raw = 0.0000 corresponds to the 97th percentile of the calibration corpus. This indicates extreme level relative to the empirical baseline (baseline type: neutral_news).,EMI_raw = 0.0000 corresponds to the 88th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,MTI_raw = 0.0000 corresponds to the 92th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_context = 0.0000 corresponds to the 86th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_abs_context = 0.0000 corresponds to the 81th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).
cal_doc_manual_neutral_news_set_000001_000001__USA__001,cal_local_manual_neutral_news_set_000001_000001,Manual Neutral News Set,,neutral_news,neutral_baseline,USA,US,"Source: South China Morning Post
URL: https://www.scmp.com/news/asia/southeast-asia/article/3247082/malaysian-drug-kingpin-arrested-laos-us25-million-assets-seized
Date: 2024-01-03T10:43:20+08:00
Year: 2024
Country: malaysia
Discourse: media
Title: Malaysian drug kingpin arrested in Laos with US$2.5 million in assets seized

The 41-year-old, who has not been named, was arrested in Vientiane on December 29 following a joint Thai-Laotian police operation. Police also seized the man’s extensive assets, which included two condominium units, three yachts, two cars, three motorbikes, a parcel of land with a building, firearms, cash and other valuables, spread across Bangkok and the provinces of Trat, Chiang Rai, and Chonburi, Panurat said. The total estimated value of the seized assets was 85 million baht (US$2.5 million). “He also used Thailand for both money laundering and as a transit point for smuggling drugs, including to third countries like Malaysia, Taiwan and Australia,” said Panurat, according to Malaysian state news agency Bernama.",,"Source: South China Morning Post
URL: https://www.scmp.com/news/asia/southeast-asia/article/3247082/malaysian-drug-kingpin-arrested-laos-us25-million-assets-seized
Date: 2024-01-03T10:43:20+08:00
Year: 2024
Country: malaysia
Discourse: media
Title: Malaysian drug kingpin arrested in Laos with US$2.5 million in assets seized

The 41-year-old, who has not been named, was arrested in Vientiane on December 29 following a joint Thai-Laotian police operation. The total estimated value of the seized assets was 85 million baht (US$2.5 million).","“The arrest is a result of the continuous investigation and close coordination between the Thai, Malaysian, and Laotian enforcement agencies,” he said in a statement.",111,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.25,background,0.0,0.0,,en,,none,96.58,extreme,88.42,high,91.58,high,85.79,high,81.32,high,IDI_raw = 0.0000 corresponds to the 97th percentile of the calibration corpus. This indicates extreme level relative to the empirical baseline (baseline type: neutral_news).,EMI_raw = 0.0000 corresponds to the 88th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,MTI_raw = 0.0000 corresponds to the 92th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_context = 0.0000 corresponds to the 86th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_abs_context = 0.0000 corresponds to the 81th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).
cal_doc_manual_neutral_news_set_000002_000002__China__001,cal_local_manual_neutral_news_set_000002_000002,Manual Neutral News Set,,neutral_news,neutral_baseline,China,China; Chinese,"Source: South China Morning Post
URL: https://www.scmp.com/news/asia/southeast-asia/article/3261721/2-chinese-men-convicted-singapores-largest-money-laundering-case-deported-cambodia
Date: 2024-05-07T17:00:49+08:00
Year: 2024
Country: singapore
Discourse: media
Title: 2 Chinese men convicted in Singapore money laundering case deported to Cambodia

Two men convicted in Singapore’s largest money laundering case were deported to Cambodia on Monday. Su Wenqiang and Wang Baosen, both 32, are barred from re-entering Singapore, an Immigration and Checkpoints Authority (ICA) spokesperson said in response to CNA’s queries.",,"Source: South China Morning Post
URL: https://www.scmp.com/news/asia/southeast-asia/article/3261721/2-chinese-men-convicted-singapores-largest-money-laundering-case-deported-cambodia
Date: 2024-05-07T17:00:49+08:00
Year: 2024
Country: singapore
Discourse: media
Title: 2 Chinese men convicted in Singapore money laundering case deported to Cambodia

Two men convicted in Singapore’s largest money laundering case were deported to Cambodia on Monday.",Both men were sentenced to 13 months’ jail in April.,59,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.25,background,0.0,0.0,,en,,none,96.58,extreme,88.42,high,91.58,high,85.79,high,81.32,high,IDI_raw = 0.0000 corresponds to the 97th percentile of the calibration corpus. This indicates extreme level relative to the empirical baseline (baseline type: neutral_news).,EMI_raw = 0.0000 corresponds to the 88th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,MTI_raw = 0.0000 corresponds to the 92th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_context = 0.0000 corresponds to the 86th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_abs_context = 0.0000 corresponds to the 81th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).
cal_doc_manual_neutral_news_set_000002_000002__China__002,cal_local_manual_neutral_news_set_000002_000002,Manual Neutral News Set,,neutral_news,neutral_baseline,China,China,"Authorities had seized more than S$5.9 million (US$4.4 million) from Su in the form of cash, vehicles, luxury items and liquor. Su is a Cambodian national whose passport states that he is from Fujian, China.","He admitted to 11 charges of money laundering, possessing proceeds from illegal remote gambling offences and lying to get work passes for himself and his wife.","Su is a Cambodian national whose passport states that he is from Fujian, China.",,21,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.25,background,0.0,0.0,,en,,none,96.58,extreme,88.42,high,91.58,high,85.79,high,81.32,high,IDI_raw = 0.0000 corresponds to the 97th percentile of the calibration corpus. This indicates extreme level relative to the empirical baseline (baseline type: neutral_news).,EMI_raw = 0.0000 corresponds to the 88th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,MTI_raw = 0.0000 corresponds to the 92th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_context = 0.0000 corresponds to the 86th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_abs_context = 0.0000 corresponds to the 81th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).
cal_doc_manual_neutral_news_set_000002_000002__USA__001,cal_local_manual_neutral_news_set_000002_000002,Manual Neutral News Set,,neutral_news,neutral_baseline,USA,US,"He admitted to 11 charges of money laundering, possessing proceeds from illegal remote gambling offences and lying to get work passes for himself and his wife. Authorities had seized more than S$5.9 million (US$4.4 million) from Su in the form of cash, vehicles, luxury items and liquor. Su is a Cambodian national whose passport states that he is from Fujian, China.",Su was the first suspect to plead guilty in the case and was sentenced on April 2.,"Authorities had seized more than S$5.9 million (US$4.4 million) from Su in the form of cash, vehicles, luxury items and liquor.",,37,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.25,background,0.0,0.0,,en,,none,96.58,extreme,88.42,high,91.58,high,85.79,high,81.32,high,IDI_raw = 0.0000 corresponds to the 97th percentile of the calibration corpus. This indicates extreme level relative to the empirical baseline (baseline type: neutral_news).,EMI_raw = 0.0000 corresponds to the 88th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,MTI_raw = 0.0000 corresponds to the 92th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_context = 0.0000 corresponds to the 86th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_abs_context = 0.0000 corresponds to the 81th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).
cal_doc_manual_neutral_news_set_000005_000005__China__001,cal_local_manual_neutral_news_set_000005_000005,Manual Neutral News Set,,neutral_news,neutral_baseline,China,China; Taiwan,"The sea route to Indonesia, with the porousness of borders off the coast of Sumatra, is considered to be a preferred route for traffickers, he noted. Meanwhile, drug syndicates in Myanmar, Laos and Thailand have partnered up with groups in Indonesia, China, Taiwan and other countries to ramp up production. BNN head Comr.","[…] This proves that they never stopped,” Arman said.","Meanwhile, drug syndicates in Myanmar, Laos and Thailand have partnered up with groups in Indonesia, China, Taiwan and other countries to ramp up production.",Gen.,31,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.25,background,0.0,0.0,,en,,none,96.58,extreme,88.42,high,91.58,high,85.79,high,81.32,high,IDI_raw = 0.0000 corresponds to the 97th percentile of the calibration corpus. This indicates extreme level relative to the empirical baseline (baseline type: neutral_news).,EMI_raw = 0.0000 corresponds to the 88th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,MTI_raw = 0.0000 corresponds to the 92th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_context = 0.0000 corresponds to the 86th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_abs_context = 0.0000 corresponds to the 81th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).
cal_doc_manual_neutral_news_set_000005_000005__USA__001,cal_local_manual_neutral_news_set_000005_000005,Manual Neutral News Set,,neutral_news,neutral_baseline,USA,US,"In a recent drug bust in North Sumatra, police found 4 kilograms of methamphetamine smuggled in from Malaysia. The drugs were bound for Lampung and Jakarta, with peddlers promised earnings of up to Rp 25 million (US$1,745) for the delivery. Despite significant drug busts, the typical price range for 1 gram of crystal meth in the country has nearly halved over the last four years to US$86.7 to $114.3 in 2019. This indicates that the drug busts have had little impact on the availability of the drug in the market, the report stated.","Meanwhile, demand for the substance is stable in Indonesia, according to the UNODC.","The drugs were bound for Lampung and Jakarta, with peddlers promised earnings of up to Rp 25 million (US$1,745) for the delivery. Despite significant drug busts, the typical price range for 1 gram of crystal meth in the country has nearly halved over the last four years to US$86.7 to $114.3 in 2019.","“Organized crime groups are in a position to provide better quality methamphetamine at much cheaper prices compared to a decade ago, increasing affordability and harm at the same time”, UNODC illicit drugs analyst Inshik Sim said.",49,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,secondary_actor,0.0,0.0,,en,,none,96.58,extreme,88.42,high,91.58,high,85.79,high,81.32,high,IDI_raw = 0.0000 corresponds to the 97th percentile of the calibration corpus. This indicates extreme level relative to the empirical baseline (baseline type: neutral_news).,EMI_raw = 0.0000 corresponds to the 88th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,MTI_raw = 0.0000 corresponds to the 92th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_context = 0.0000 corresponds to the 86th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_abs_context = 0.0000 corresponds to the 81th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).
cal_doc_manual_neutral_news_set_000005_000005__USA__002,cal_local_manual_neutral_news_set_000005_000005,Manual Neutral News Set,,neutral_news,neutral_baseline,USA,US,"“Organized crime groups are in a position to provide better quality methamphetamine at much cheaper prices compared to a decade ago, increasing affordability and harm at the same time”, UNODC illicit drugs analyst Inshik Sim said. According to the UNODC’s assessment, the methamphetamine market in East and Southeast Asia and neighboring countries is valued at around US$61.4 billion. The drop in drug prices has put a number of countries on high alert in a region that is split between a harsh antinarcotics stance and a more lenient approach backed by historical and traditional customs.","This indicates that the drug busts have had little impact on the availability of the drug in the market, the report stated.","According to the UNODC’s assessment, the methamphetamine market in East and Southeast Asia and neighboring countries is valued at around US$61.4 billion.",But the COVID-19 outbreak has provided countries with an extra buffer to anticipate illegal drug flows.,61,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,secondary_actor,0.0,0.0,,en,,none,96.58,extreme,88.42,high,91.58,high,85.79,high,81.32,high,IDI_raw = 0.0000 corresponds to the 97th percentile of the calibration corpus. This indicates extreme level relative to the empirical baseline (baseline type: neutral_news).,EMI_raw = 0.0000 corresponds to the 88th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,MTI_raw = 0.0000 corresponds to the 92th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_context = 0.0000 corresponds to the 86th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_abs_context = 0.0000 corresponds to the 81th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).
cal_doc_manual_neutral_news_set_000006_000006__China__001,cal_local_manual_neutral_news_set_000006_000006,Manual Neutral News Set,,neutral_news,neutral_baseline,China,China,"Vietnam's government said this week that 60 countries were registered for the official signing, without disclosing which ones. But the list will probably not be limited to Russia, China, and their allies. ""Cybercrime is a real issue across the world,"" Diya said.","""It's almost rubber-stamping a very problematic practice that has been used against journalists and in authoritarian countries,"" she told AFP.","But the list will probably not be limited to Russia, China, and their allies.","""I think everybody's kind of grappling with it.""
The far-reaching online scam industry, for example, has ballooned in Southeast Asia in recent years, with thousands of scammers estimated to be involved and victims worldwide conned out of billions of dollars annually.",25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.25,background,0.0,0.0,,en,,none,96.58,extreme,88.42,high,91.58,high,85.79,high,81.32,high,IDI_raw = 0.0000 corresponds to the 97th percentile of the calibration corpus. This indicates extreme level relative to the empirical baseline (baseline type: neutral_news).,EMI_raw = 0.0000 corresponds to the 88th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,MTI_raw = 0.0000 corresponds to the 92th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_context = 0.0000 corresponds to the 86th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).,IP_abs_context = 0.0000 corresponds to the 81th percentile of the calibration corpus. This indicates high level relative to the empirical baseline (baseline type: neutral_news).
